rot	tilt	psi
172.8701	93.6699	-161.6886
49.5652	142.3337	-133.8401
-143.4561	103.1068	-118.0238
-132.8319	107.7024	68.6848
8.52	148.2941	-28.4377
-51.9088	92.4167	-174.4139
170.3296	85.1459	-71.4391
132.2282	90.3346	-162.4054
-55.3036	73.1081	-167.6629
10.8993	86.8398	56.2215
10.3728	84.8229	-122.9979
50.4155	41.7537	-76.1022
55.228	112.4976	-124.512
78.7951	57.7601	148.8635
3.9225	142.5097	-48.774
-175.4193	67.0044	41.9416
112.7783	64.3022	-159.7851
33.0596	58.2838	59.499
27.7232	60.4992	-119.5025
-88.6465	35.3864	84.8399
-108.6746	31.3927	-111.4758
120.8936	21.6295	-73.1161
146.8368	71.0497	116.4919
106.2649	26.2461	169.0622
70.3986	89.2553	-81.1507
60.0027	56.2134	144.3206
122.2609	32.4811	33.3082
123.3057	29.1697	-146.3585
96.613	82.5229	40.8687
-3.1865	74.9492	-113.2769
19.5926	91.7919	87.7361
75.9978	88.7497	-41.6565
32.1214	13.349	9.5285
95.9654	43.9851	44.7037
80.614	170.4832	-135.698
12.5078	173.3146	-47.8881
112.7281	9.0824	177.0895
-125.0887	120.0704	102.1695
147.0821	48.5374	176.7466
153.9887	51.2378	-2.4369
-26.6919	89.602	65.7948
165.8673	93.1716	-95.7903
-31.7695	97.1261	134.1098
-33.7283	98.9134	-46.1636
-0.642	62.0713	-14.071
-32.0254	66.0461	-117.8845
-148.5026	49.8124	-80.2226
-144.5713	51.9395	94.4823
-137.7191	159.3511	128.431
115.1754	97.7042	-99.3848
148.4341	116.0871	8.54
76.9442	146.5175	105.3983
-88.3377	94.4007	178.6165
-168.6005	115.455	-149.6263
171.2604	16.4315	61.5298
7.1099	16.9451	-166.4445
1.7024	21.6375	20.0146
-107.4608	57.053	89.3409
156.4997	51.0446	20.8605
138.9375	43.4072	-90.5313
144.3914	44.5023	84.1339
138.913	40.2071	140.2745
134.6884	41.3553	-37.9324
-74.3799	44.4431	-150.3325
25.2725	101.6626	-130.0077
132.322	138.5213	178.6589
81.5396	123.4085	146.6084
-83.0357	83.9336	143.0479
-97.5016	126.8916	-91.4218
-36.7648	108.4735	-147.7238
62.5184	70.2422	-179.919
82.1525	122.0535	56.1605
-154.9564	48.608	-81.8357
57.3505	95.3156	-20.6589
-67.6391	132.3396	136.5464
127.8946	49.1058	-104.4799
-109.1092	117.6824	40.5716
-118.6913	113.5281	-148.8511
-31.542	117.0528	-140.9672
-130.5184	39.1624	179.5915
-144.5089	56.6736	-82.9225
55.2643	120.8386	77.8163
16.9954	111.7737	-95.6682
-150.9601	40.9579	3.7641
-136.4065	125.0327	-147.4339
-132.2181	37.8735	74.0771
-170.408	62.3557	-7.196
160.9487	36.5565	109.749
-145.3892	26.3645	55.6654
-27.5749	113.0117	-147.1954
-78.3987	145.6341	-175.3659
88.1637	117.6902	53.9613
83.543	116.7869	-129.0337
-80.2001	93.1476	-78.4861
177.324	50.0217	42.6362
-67.8835	127.2376	130.0852
145.2449	93.7898	-165.3645
144.3506	95.2752	14.2132
40.7357	152.9445	24.8342
34.9657	151.8515	-159.4013
93.1544	75.4946	25.0771
-122.5891	119.1008	-116.1793
-113.1143	124.0907	84.5975
-149.7045	27.7282	-156.4915
-112.3528	97.2632	-95.307
-159.6183	102.414	136.3681
-164.4071	58.3376	24.4511
-170.0119	33.3673	124.3438
-34.2678	93.5707	25.5963
-134.8049	96.9178	-148.8036
126.8974	38.0136	51.4123
8.3682	79.1178	172.1651
6.1232	81.3081	-7.1796
-64.1204	63.7734	146.6961
175.4589	101.0956	-57.2709
179.0354	101.9808	123.4446
27.2662	84.7239	-115.0651
25.1141	40.1958	-126.0715
-158.5139	89.0862	121.6121
66.4364	40.1541	-73.9943
-62.6284	109.1931	128.0459
-64.8888	110.7563	-52.7264
84.0123	31.6852	57.8887
-91.0557	81.8294	-124.2463
133.3364	16.7289	144.6189
-107.0438	70.5466	169.8299
-83.4462	98.4146	-135.7329
-68.467	54.5668	-60.5428
-67.3564	52.3095	118.2095
26.4897	90.6171	-132.5134
-124.1444	22.0587	92.7281
-89.2239	64.5987	-1.1203
-100.4187	93.1531	45.4707
123.7283	57.0819	-134.8554
26.9127	71.7936	132.4336
87.3179	51.4287	98.438
83.987	51.8029	-79.4935
111.2731	118.4054	-14.0151
-116.5563	32.6569	168.3891
-99.3526	25.2396	-19.7095
32.0823	115.6855	143.3174
32.5178	116.7862	-35.0645
86.0333	90.8045	152.488
-32.2437	117.6071	18.8633
133.4092	130.9487	-83.0145
140.2216	69.5606	73.8456
123.6185	142.706	-28.7526
132.3337	139.1211	159.1618
75.9465	146.5722	79.204
-175.9694	54.6701	-55.6938
132.9796	65.4816	-114.3043
142.446	35.9857	67.3039
13.9736	114.5244	127.1012
-115.9793	114.9109	-124.0312
51.5908	64.349	156.9441
54.8005	65.4871	-23.6562
-5.6088	68.9751	-130.5695
-1.8568	69.2832	47.3707
-20.617	130.2407	-42.13
101.8689	64.7946	-69.0969
-85.9705	115.9491	20.8615
-171.8043	106.933	-172.1273
-143.9883	142.6612	-74.5887
28.8079	100.5165	14.3769
-39.4938	89.3529	-98.8883
27.1544	123.3649	-52.9525
-141.913	120.7601	84.7036
64.0549	35.6944	67.9778
-50.4221	52.2217	37.3586
119.8703	23.4837	84.2663
22.2249	65.1506	-62.0753
-148.6761	89.1885	-72.7318
172.0471	136.9893	177.3564
-84.9978	25.3849	19.6328
2.6523	29.3325	-152.2424
-126.7444	74.6243	174.2369
91.2173	109.231	-83.3211
-147.0085	65.5489	-110.8559
125.0639	103.613	175.5533
96.6724	105.352	-126.8972
116.552	125.4342	70.3926
-66.6864	41.7353	161.0487
-66.6864	41.7353	161.0487
-110.2237	61.2813	63.1461
51.1153	118.5777	7.7762
-30.2657	90.2671	133.4576
126.7802	89.876	-117.407
113.9079	39.0437	12.077
-110.2667	30.6294	-117.9173
23.7943	70.6925	-179.4317
115.954	129.123	-57.6041
98.7652	97.646	91.0279
40.6768	88.0082	107.6129
116.4776	138.4638	-51.8358
-148.8679	93.0979	53.7455
64.536	112.4136	-131.7456
64.1676	87.7144	2.0149
67.6863	52.9625	100.0548
-144.982	58.1857	79.516
-4.4862	107.88	-153.1746
28.3755	74.9492	-115.7809
